ID,dct:source,ms:resourceName,metadataRecordIdentifier,resourceCreator,ORCID,Creation date,licence,size/amount,categoryLabel,LCRsubclass,subject,language,landingPage,generalDocumentation,annotationSchema,dataFormat,sourceMetadataGeneration,META-SHARE property,ontology,externalResource,externalResource/comment,downloadLocation,distributionLocation/comment,accessLocation ,accessibleThroughQuery,accessibleThroughQuery/comment,comment,,
1162,LOD Cloud,"""Rainis and Aspazija"" Linked Digital Collection",rainis-and-aspazija-linked-digital-collection,,,,,34660,,,,Latvian,http://runa.lnb.lv,,,,,,,,,,,,,,,,
89,LOD Cloud,2000 U.S. Census in RDF (rdfabout.com),2000-us-census-rdf,,,,CC BY-NC 2.0,1002848918,government,,,English,http://www.rdfabout.com/demo/census/,,,,,,,,,,,,,,,,
640,LOD Cloud,2001 Spanish Census to RDF,2001-spanish-census-to-rdf,,,,CC-BY-SA,93325760,government,,,Spanish,http://dataweb.infor.uva.es/census2001,,,,,,,,,,,,,,,,
1163,LOD Cloud,2011 US Congress People,congresspeople,,,,,0,government,,,English,http://www.contactingthecongress.org/,,,,,,,,,,,,,,,,
1164,LOD Cloud,20th Century Press Archives,zbw-pressemappe20,,,,,12000000,publications,,,German,http://zbw.eu/beta/p20,,,,,,,,,,,,,,,,
21,AnnoHub,8 SIDOR (2017-10-16); 8 SIDOR (2017-10-16),,Swedish; Corpus; News; News articles from 8 SIDOR. The material is sentence scrambled.; Nyhetsartiklar från 8 SIDOR. Materialet är meningsomkastat.,,,CC BY 4.0,,linguistics,corpora,,Swedish,,,,,Metadata generated from CLARIN,,,,,,,,,,,,
641,LOD Cloud,A collection of Authors for LREC2014 and related Workshops,lremap-auth,,,,CC-BY-SA,26462,publications,,,English,,,,,,,,,,,,,,,,,
642,LOD Cloud,A collection of Papers for LREC2014 and related Workshops,a-collection-of-papers-for-lrec2014-and-related-workshops,,,,CC-BY-SA,2993,publications,,,English,,,,,,,,,,,,,,,,,
643,LOD Cloud,A collection of Submissions for LREC2014 and related Workshops,lremap-sub,,,,CC-BY-SA,4897,publications,,,English,,,,,,,,,,,,,,,,,
2324,LOD Cloud,AAT-atawil,Altawil,muhanad altawil,,,FAL,0,cross_domain,,,,https://altawil.my.opendatasoft.com,,,,,,,,,,,,,,,,
1165,LOD Cloud,ABA Adult Mouse Brain,bioportal-aba,,,,,9617,life_sciences,,,,http://bioportal.bioontology.org/ontologies/1290,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services,,,,,,,,,,,,,,,
22,AnnoHub,Academic texts – Humanities 1997–2012 (2017-10-16); Akademiska texter – Humaniora 1997–2012 (2017-10-16),,Swedish; Academic texts; Humanties; A corpus with academic texts from 1997–2012. The material is sentence scrambled.; En korpus med akademiska texter från humaniora 1997–2012. Materialet är meningsomkastat.,,,CC BY 4.0,,linguistics,corpora,,Swedish,,,,,Metadata generated from CLARIN,,,,,,,,,,,,
23,AnnoHub,Academic texts – Social science 1997–2012 (2017-10-16); Academic texts – Samhällsvetenskap 1997–2012 (2017-10-16),,Swedish; Academic texts; Social sciences; A corpus with academic texts in Social sciences from 1997–2012. The material is sentence scrambled.; En korpus med akademiska texter från samhällsvetenskap 1997–2012. Materialet är meningsomkastat.,,,CC BY 4.0,,linguistics,corpora,,Swedish,,,,,Metadata generated from CLARIN,,,,,,,,,,,,
1166,LOD Cloud,AcadOnto,acadonto,,,,,150000,,,,,,,,,,,,,,,,,,,,,
644,LOD Cloud,Accommodations in Piedmont (LinkedOpenData.it),grrp,,,,CC-BY-SA,153935,geography,,,Italian,http://www.linkedopendata.it/datasets/grrp,,,,,,,,,,,,,,,,
645,LOD Cloud,Accommodations in Tuscany (LinkedOpenData.it),grrt,,,,CC-BY-SA,434714,geography,,,Italian,http://www.linkedopendata.it/datasets/grrt,,,,,,,,,,,,,,,,
757,LOD Cloud,Active ingredients of medicinal products available in Czech Republic,cz-sidc-drug-ingredients,,,,CC-zero,210870,life_sciences,,,Czech,http://linked.opendata.cz/resource/dataset/sukl/drug-ingredients,,,,,,,,,,,,,,,,
1167,LOD Cloud,Addgene,addgene,,,,,16610,life_sciences,,,,http://www.addgene.org/,,,,,,,,,,,,,,,,
